condition,seed,roc_auc,ap,f1_val_threshold,p_at_5pct,r_at_10fpr
primary__MLP__M5,42,0.7904812834224599,0.00689117622659956,0.013559322033898305,0.009478672985781991,0.3
primary__MLP__M5,123,0.7362448009506832,0.0056193032382771575,0.0,0.004739336492890996,0.25
primary__MLP__M5,456,0.7381580510992276,0.006904011336634985,0.013605442176870748,0.009478672985781991,0.25
primary__MLP__M5,789,0.767379679144385,0.006103690843783859,0.013717421124828532,0.002369668246445498,0.35
primary__MLP__M5,1024,0.7647831253713606,0.00695271153648024,0.015267175572519083,0.0071090047393364926,0.35
primary__MLP__M11,42,0.8377183600713012,0.011571361523068953,0.011834319526627219,0.016587677725118485,0.45
primary__MLP__M11,123,0.8125252525252524,0.01004467880902027,0.011299435028248588,0.009478672985781991,0.45
primary__MLP__M11,456,0.8422162804515746,0.010491466107378581,0.015037593984962405,0.016587677725118485,0.45
primary__MLP__M11,789,0.825103980986334,0.011431395380859393,0.022304832713754646,0.014218009478672985,0.4
primary__MLP__M11,1024,0.8418775995246583,0.011150926211770235,0.012121212121212121,0.016587677725118485,0.45
primary__RandomForest__M5,42,0.7779441473559121,0.00927695185958633,0.02727272727272727,0.0071090047393364926,0.4
primary__RandomForest__M5,123,0.792724301841949,0.01511988190331675,0.06896551724137931,0.0071090047393364926,0.45
primary__RandomForest__M5,456,0.778612596553773,0.010770994490774934,0.06060606060606061,0.009478672985781991,0.4
primary__RandomForest__M5,789,0.7704604872251931,0.01136310801685942,0.0,0.009478672985781991,0.3
primary__RandomForest__M5,1024,0.7811229946524063,0.01332156282759564,0.02564102564102564,0.009478672985781991,0.35
primary__RandomForest__M11,42,0.8563963161021984,0.014525199146438251,0.03125,0.016587677725118485,0.45
primary__RandomForest__M11,123,0.8709744503862151,0.014273101436574445,0.03508771929824561,0.016587677725118485,0.5
primary__RandomForest__M11,456,0.8632976827094474,0.015769622258573906,0.031746031746031744,0.016587677725118485,0.4
primary__RandomForest__M11,789,0.8672311348781938,0.015044278105614263,0.034482758620689655,0.016587677725118485,0.5
primary__RandomForest__M11,1024,0.8614438502673797,0.014189184890063287,0.0,0.016587677725118485,0.45
primary__GCN__M11,42,0.8058823529411765,0.008526330826799959,0.010362694300518135,0.009478672985781991,0.5
primary__GCN__M11,123,0.8387462863933453,0.009145460169178148,0.007326007326007326,0.0071090047393364926,0.5
primary__GCN__M11,456,0.8199168152109328,0.008660838867232774,0.008130081300813009,0.004739336492890996,0.5
primary__GCN__M11,789,0.823321449792038,0.008424496908394594,0.01098901098901099,0.004739336492890996,0.5
primary__GCN__M11,1024,0.8027035056446821,0.006752076253683716,0.006060606060606061,0.002369668246445498,0.35
primary__SAGE__M11,42,0.810326797385621,0.008532559416982463,0.009216589861751152,0.0071090047393364926,0.4
primary__SAGE__M11,123,0.8530005941770648,0.011701294198120523,0.0,0.009478672985781991,0.6
primary__SAGE__M11,456,0.7982471776589424,0.008640581331394538,0.01092896174863388,0.0071090047393364926,0.45
primary__SAGE__M11,789,0.80815210932858,0.008312503635037265,0.0,0.011848341232227487,0.35
primary__SAGE__M11,1024,0.8169815805109923,0.008543283205211452,0.009389671361502348,0.011848341232227487,0.4
asof__MLP__M5,42,0.8007189542483659,0.007170372296007723,0.014527845036319613,0.0071090047393364926,0.25
asof__MLP__M5,123,0.7434818775995247,0.00579391338901701,0.0,0.004739336492890996,0.2
asof__MLP__M5,456,0.7520023767082591,0.007123442819004438,0.0,0.009478672985781991,0.35
asof__MLP__M5,789,0.7693107546048723,0.0064301042725247014,0.013029315960912053,0.002369668246445498,0.35
asof__MLP__M5,1024,0.7708793820558526,0.007063836401952055,0.0,0.0071090047393364926,0.35
asof__MLP__M11,42,0.8391859774212715,0.011590197395975079,0.014184397163120567,0.016587677725118485,0.45
asof__MLP__M11,123,0.8054486036838977,0.010148402561474429,0.017964071856287425,0.009478672985781991,0.4
asof__MLP__M11,456,0.8404693998811645,0.010467322206309715,0.0,0.016587677725118485,0.45
asof__MLP__M11,789,0.8294533571004159,0.011284836253260006,0.026845637583892617,0.011848341232227487,0.45
asof__MLP__M11,1024,0.8433808674985145,0.011287653639323826,0.016,0.014218009478672985,0.5
asof__RandomForest__M5,42,0.835103980986334,0.03179271694051118,0.08163265306122448,0.018957345971563982,0.65
asof__RandomForest__M5,123,0.8585502079619727,0.03863038583388925,0.06802721088435375,0.02132701421800948,0.55
asof__RandomForest__M5,456,0.8546880570409983,0.03805212613376944,0.0847457627118644,0.018957345971563982,0.55
asof__RandomForest__M5,789,0.8733422459893048,0.0380919068159814,0.08064516129032258,0.02132701421800948,0.55
asof__RandomForest__M5,1024,0.8220677361853834,0.03379211605319768,0.09090909090909091,0.016587677725118485,0.6
asof__RandomForest__M11,42,0.9041681521093287,0.03550713299406609,0.11235955056179775,0.023696682464454975,0.7
asof__RandomForest__M11,123,0.8931966726084374,0.02857797733225104,0.10526315789473684,0.02132701421800948,0.7
asof__RandomForest__M11,456,0.907038027332145,0.03009146184020594,0.07920792079207921,0.02132701421800948,0.65
asof__RandomForest__M11,789,0.9057040998217468,0.028296338423549453,0.09411764705882353,0.018957345971563982,0.65
asof__RandomForest__M11,1024,0.9145038621509209,0.028348496752421994,0.09876543209876543,0.02132701421800948,0.65
fixed1095__MLP__M11,42,0.8362269756387404,0.011761419271222534,0.0,0.011848341232227487,0.55
fixed1095__MLP__M11,123,0.8002317290552584,0.008752900186955237,0.008849557522123894,0.011848341232227487,0.45
fixed1095__MLP__M11,456,0.8336363636363636,0.009496629471618355,0.0,0.009478672985781991,0.45
fixed1095__MLP__M11,789,0.824896019013666,0.010207860247924425,0.0,0.016587677725118485,0.5
fixed1095__MLP__M11,1024,0.8159150326797386,0.009224783387611499,0.0,0.011848341232227487,0.45
fixed1095__RandomForest__M11,42,0.7561734997029115,0.012713725352272661,0.0,0.018957345971563982,0.5
fixed1095__RandomForest__M11,123,0.7861437908496732,0.01479598168840283,0.0,0.02132701421800948,0.5
fixed1095__RandomForest__M11,456,0.7727658942364825,0.013882188285825199,0.019230769230769232,0.018957345971563982,0.5
fixed1095__RandomForest__M11,789,0.7959150326797385,0.013955087155439996,0.0,0.018957345971563982,0.5
fixed1095__RandomForest__M11,1024,0.818972073677956,0.013109602261399473,0.0,0.018957345971563982,0.45
fixed1095__GCN__M11,42,0.7815389185977422,0.008456985760744686,0.011235955056179775,0.0071090047393364926,0.5
fixed1095__GCN__M11,123,0.81068330362448,0.008049132836491047,0.00749063670411985,0.0071090047393364926,0.4
fixed1095__GCN__M11,456,0.7542543077837195,0.007602150672445136,0.0,0.0071090047393364926,0.5
fixed1095__GCN__M11,789,0.7379857397504457,0.007557614207646983,0.0,0.011848341232227487,0.35
fixed1095__GCN__M11,1024,0.746916221033868,0.005580186405850598,0.0,0.002369668246445498,0.2
fixed1095__SAGE__M11,42,0.7495424836601308,0.007048087761262012,0.0,0.009478672985781991,0.45
fixed1095__SAGE__M11,123,0.7230718954248366,0.008013072365992809,0.0,0.011848341232227487,0.45
fixed1095__SAGE__M11,456,0.6887581699346405,0.007597440982892712,0.023809523809523808,0.009478672985781991,0.35
fixed1095__SAGE__M11,789,0.7308793820558527,0.007251530932379475,0.0,0.009478672985781991,0.35
fixed1095__SAGE__M11,1024,0.7959893048128341,0.007202339090377877,0.0,0.004739336492890996,0.35
